"2014_DBL_All-Star_Gala#0","1","http://dbpedia.org/ontology/Agent http://dbpedia.org/ontology/Athlete http://dbpedia.org/ontology/BasketballPlayer http://dbpedia.org/ontology/Person"
"1984_Pan_American_Race_Walking_Cup#3","1",""
"1964%E2%80%9365_Football_League_Cup#0","0","http://dbpedia.org/ontology/Agent http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/SoccerClub http://dbpedia.org/ontology/SportsTeam"
"1951_Copa_del_General%C3%ADsimo_Juvenil#0","0","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Location http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/SportsTeam"
"Everything_Changes_(Take_That_song)#2","1",""
"1995_Overseas_Final#0","1","http://dbpedia.org/ontology/Agent http://dbpedia.org/ontology/Athlete http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/SpeedwayRider"
"Heihe_Airport#0","0","http://dbpedia.org/ontology/Agent http://dbpedia.org/ontology/Airline http://dbpedia.org/ontology/Company http://dbpedia.org/ontology/Organisation"
"Venice_Film_Festival#0","1","http://dbpedia.org/ontology/Agent http://dbpedia.org/ontology/Person"
"1965%E2%80%9366_Football_League_Cup#4","0","http://dbpedia.org/ontology/Agent http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/SoccerClub http://dbpedia.org/ontology/SportsTeam"
"1986_Major_League_Baseball_draft#0","1","http://dbpedia.org/ontology/Person"
"Teymuraz_Gabashvili#0","0","http://dbpedia.org/ontology/Tournament"
"United_States_House_of_Representatives_elections,_1980#Illinois#17","1","http://dbpedia.org/ontology/Agent http://dbpedia.org/ontology/Congressman http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Politician"
"2010_FIFA_World_Cup_qualification_(UEFA)#0","0",""
"My%C5%8Dk%C5%8Dji_Station#0","0","http://dbpedia.org/ontology/ArchitecturalStructure http://dbpedia.org/ontology/Infrastructure http://dbpedia.org/ontology/Location http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Station"
"2008_NASCAR_Sprint_Cup_Series#11","2","http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Agent http://dbpedia.org/ontology/Athlete http://dbpedia.org/ontology/MotorsportRacer http://dbpedia.org/ontology/NascarDriver http://dbpedia.org/ontology/RacingDriver"
"Most_Haunted_Live!#1","2","http://dbpedia.org/ontology/ArchitecturalStructure http://dbpedia.org/ontology/Location http://dbpedia.org/ontology/MilitaryStructure http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/Building http://dbpedia.org/ontology/Castle"
